mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,power_to_weight,sqrt_displacement,inv_weight,horsepower_sq,origin_europe,origin_japan,origin_usa
18.0,4,121.0,112.0,2933,14.5,72,0.03818615751789976,11.0,0.00034094783498124785,12544.0,True,False,False
22.0,4,121.0,76.0,2511,18.0,72,0.030266825965750695,11.0,0.00039824771007566706,5776.0,True,False,False
21.0,4,120.0,87.0,2979,19.5,72,0.02920443101711984,10.954451150103322,0.0003356831151393085,7569.0,True,False,False
26.0,4,96.0,69.0,2189,18.0,72,0.031521242576518956,9.797958971132712,0.00045682960255824577,4761.0,True,False,False
22.0,4,122.0,86.0,2395,16.0,72,0.03590814196242171,11.045361017187261,0.0004175365344467641,7396.0,False,False,True
28.0,4,97.0,92.0,2288,17.0,72,0.04020979020979021,9.848857801796104,0.00043706293706293706,8464.0,False,True,False
23.0,4,120.0,97.0,2506,14.5,72,0.038707102952913006,10.954451150103322,0.0003990422984836393,9409.0,False,True,False
28.0,4,98.0,80.0,2164,15.0,72,0.036968576709796676,9.899494936611665,0.0004621072088724584,6400.0,False,False,True
27.0,4,97.0,88.0,2100,16.5,72,0.0419047619047619,9.848857801796104,0.0004761904761904762,7744.0,False,True,False
13.0,8,350.0,175.0,4100,13.0,73,0.042682926829268296,18.708286933869708,0.00024390243902439024,30625.0,False,False,True
14.0,8,304.0,150.0,3672,11.5,73,0.04084967320261438,17.435595774162696,0.0002723311546840959,22500.0,False,False,True
13.0,8,350.0,145.0,3988,13.0,73,0.03635907723169508,18.708286933869708,0.00025075225677031093,21025.0,False,False,True
14.0,8,302.0,137.0,4042,14.5,73,0.0338941118258288,17.378147196982766,0.00024740227610094015,18769.0,False,False,True
15.0,8,318.0,150.0,3777,12.5,73,0.03971405877680699,17.832554500127006,0.00026476039184537993,22500.0,False,False,True
12.0,8,429.0,198.0,4952,11.5,73,0.03998384491114701,20.71231517720798,0.00020193861066235866,39204.0,False,False,True
13.0,8,400.0,150.0,4464,12.0,73,0.033602150537634407,20.0,0.00022401433691756272,22500.0,False,False,True
13.0,8,351.0,158.0,4363,13.0,73,0.03621361448544579,18.734993995195193,0.00022920009168003668,24964.0,False,False,True
14.0,8,318.0,150.0,4237,14.5,73,0.03540240736370073,17.832554500127006,0.0002360160490913382,22500.0,False,False,True
13.0,8,440.0,215.0,4735,11.0,73,0.0454065469904963,20.97617696340303,0.00021119324181626187,46225.0,False,False,True
12.0,8,455.0,225.0,4951,11.0,73,0.045445364572813576,21.330729007701542,0.00020197939810139365,50625.0,False,False,True
13.0,8,360.0,175.0,3821,11.0,73,0.04579952891913112,18.973665961010276,0.00026171159382360636,30625.0,False,False,True
18.0,6,225.0,105.0,3121,16.5,73,0.03364306312079462,15.0,0.0003204101249599487,11025.0,False,False,True
16.0,6,250.0,100.0,3278,18.0,73,0.03050640634533252,15.811388300841896,0.0003050640634533252,10000.0,False,False,True
18.0,6,232.0,100.0,2945,16.0,73,0.03395585738539898,15.231546211727817,0.00033955857385398983,10000.0,False,False,True
18.0,6,250.0,88.0,3021,16.5,73,0.029129427341939754,15.811388300841896,0.00033101621979476995,7744.0,False,False,True
23.0,6,198.0,95.0,2904,16.0,73,0.03271349862258953,14.071247279470288,0.0003443526170798898,9025.0,False,False,True
26.0,4,97.0,46.0,1950,21.0,73,0.02358974358974359,9.848857801796104,0.0005128205128205128,2116.0,True,False,False
11.0,8,400.0,150.0,4997,14.0,73,0.03001801080648389,20.0,0.00020012007204322593,22500.0,False,False,True
12.0,8,400.0,167.0,4906,12.5,73,0.03403995108030983,20.0,0.00020383204239706482,27889.0,False,False,True
13.0,8,360.0,170.0,4654,13.0,73,0.0365277180919639,18.973665961010276,0.00021486892995272884,28900.0,False,False,True
12.0,8,350.0,180.0,4499,12.5,73,0.04000889086463658,18.708286933869708,0.0002222716159146477,32400.0,False,False,True
18.0,6,232.0,100.0,2789,15.0,73,0.035855145213338116,15.231546211727817,0.00035855145213338117,10000.0,False,False,True
20.0,4,97.0,88.0,2279,19.0,73,0.03861342694164107,9.848857801796104,0.00043878894251864854,7744.0,False,True,False
21.0,4,140.0,72.0,2401,19.5,73,0.029987505206164097,11.832159566199232,0.00041649312786339027,5184.0,False,False,True
22.0,4,108.0,94.0,2379,16.5,73,0.039512400168137875,10.392304845413264,0.0004203446826397646,8836.0,False,True,False
18.0,3,70.0,90.0,2124,13.5,73,0.0423728813559322,8.366600265340756,0.00047080979284369113,8100.0,False,True,False
19.0,4,122.0,85.0,2310,18.5,73,0.0367965367965368,11.045361017187261,0.0004329004329004329,7225.0,False,False,True
21.0,6,155.0,107.0,2472,14.0,73,0.043284789644012944,12.449899597988733,0.0004045307443365696,11449.0,False,False,True
26.0,4,98.0,90.0,2265,15.5,73,0.039735099337748346,9.899494936611665,0.0004415011037527594,8100.0,True,False,False
15.0,8,350.0,145.0,4082,13.0,73,0.035521803037726604,18.708286933869708,0.0002449779519843214,21025.0,False,False,True
16.0,8,400.0,230.0,4278,9.5,73,0.053763440860215055,20.0,0.0002337540906965872,52900.0,False,False,True
29.0,4,68.0,49.0,1867,19.5,73,0.026245313336904125,8.246211251235321,0.0005356186395286556,2401.0,True,False,False
24.0,4,116.0,75.0,2158,15.5,73,0.03475440222428174,10.770329614269007,0.0004633920296570899,5625.0,True,False,False
20.0,4,114.0,91.0,2582,14.0,73,0.03524399690162665,10.677078252031311,0.0003872966692486445,8281.0,True,False,False
19.0,4,121.0,112.0,2868,15.5,73,0.03905160390516039,11.0,0.0003486750348675035,12544.0,True,False,False
15.0,8,318.0,150.0,3399,11.0,73,0.0441306266548985,17.832554500127006,0.0002942041776993233,22500.0,False,False,True
24.0,4,121.0,110.0,2660,14.0,73,0.041353383458646614,11.0,0.00037593984962406017,12100.0,True,False,False
20.0,6,156.0,122.0,2807,13.5,73,0.04346277164232276,12.489995996796797,0.0003562522265764161,14884.0,False,True,False
11.0,8,350.0,180.0,3664,11.0,73,0.04912663755458515,18.708286933869708,0.0002729257641921397,32400.0,False,False,True
20.0,6,198.0,95.0,3102,16.5,74,0.030625402965828497,14.071247279470288,0.0003223726627981947,9025.0,False,False,True
21.0,6,200.0,93.5,2875,17.0,74,0.03252173913043478,14.142135623730951,0.00034782608695652176,8742.25,False,False,True
19.0,6,232.0,100.0,2901,16.0,74,0.03447087211306446,15.231546211727817,0.0003447087211306446,10000.0,False,False,True
15.0,6,250.0,100.0,3336,17.0,74,0.02997601918465228,15.811388300841896,0.00029976019184652276,10000.0,False,False,True
31.0,4,79.0,67.0,1950,19.0,74,0.03435897435897436,8.888194417315589,0.0005128205128205128,4489.0,False,True,False
26.0,4,122.0,80.0,2451,16.5,74,0.032639738882088945,11.045361017187261,0.0004079967360261118,6400.0,False,False,True
32.0,4,71.0,65.0,1836,21.0,74,0.03540305010893246,8.426149773176359,0.0005446623093681918,4225.0,False,True,False
25.0,4,140.0,75.0,2542,17.0,74,0.029504327301337528,11.832159566199232,0.0003933910306845004,5625.0,False,False,True
16.0,6,250.0,100.0,3781,17.0,74,0.026448029621793177,15.811388300841896,0.0002644802962179318,10000.0,False,False,True
16.0,6,258.0,110.0,3632,18.0,74,0.0302863436123348,16.06237840420901,0.00027533039647577095,12100.0,False,False,True
18.0,6,225.0,105.0,3613,16.5,74,0.029061721561029614,15.0,0.0002767783005812344,11025.0,False,False,True
16.0,8,302.0,140.0,4141,14.0,74,0.03380825887466796,17.378147196982766,0.0002414875633904854,19600.0,False,False,True
13.0,8,350.0,150.0,4699,14.5,74,0.03192168546499255,18.708286933869708,0.00021281123643328368,22500.0,False,False,True
14.0,8,318.0,150.0,4457,13.5,74,0.03365492483733453,17.832554500127006,0.0002243661655822302,22500.0,False,False,True
14.0,8,302.0,140.0,4638,16.0,74,0.030185424752048298,17.378147196982766,0.00021561017680034498,19600.0,False,False,True
14.0,8,304.0,150.0,4257,15.5,74,0.035236081747709654,17.435595774162696,0.0002349072116513977,22500.0,False,False,True
29.0,4,98.0,83.0,2219,16.5,74,0.03740423614240649,9.899494936611665,0.0004506534474988734,6889.0,True,False,False
26.0,4,79.0,67.0,1963,15.5,74,0.03413143148242486,8.888194417315589,0.0005094243504839531,4489.0,True,False,False
26.0,4,97.0,78.0,2300,14.5,74,0.03391304347826087,9.848857801796104,0.0004347826086956522,6084.0,True,False,False
31.0,4,76.0,52.0,1649,16.5,74,0.031534263189812006,8.717797887081348,0.0006064281382656155,2704.0,False,True,False
32.0,4,83.0,61.0,2003,19.0,74,0.030454318522216674,9.1104335791443,0.0004992511233150275,3721.0,False,True,False
28.0,4,90.0,75.0,2125,14.5,74,0.03529411764705882,9.486832980505138,0.00047058823529411766,5625.0,False,False,True
24.0,4,90.0,75.0,2108,15.5,74,0.03557874762808349,9.486832980505138,0.0004743833017077799,5625.0,True,False,False
26.0,4,116.0,75.0,2246,14.0,74,0.033392698130008905,10.770329614269007,0.0004452359750667854,5625.0,True,False,False
24.0,4,120.0,97.0,2489,15.0,74,0.038971474487746086,10.954451150103322,0.0004017677782241864,9409.0,False,True,False
26.0,4,108.0,93.0,2391,15.5,74,0.03889585947302384,10.392304845413264,0.0004182350480970305,8649.0,False,True,False
31.0,4,79.0,67.0,2000,16.0,74,0.0335,8.888194417315589,0.0005,4489.0,True,False,False
19.0,6,225.0,95.0,3264,16.0,75,0.029105392156862746,15.0,0.00030637254901960784,9025.0,False,False,True
18.0,6,250.0,105.0,3459,16.0,75,0.030355594102341718,15.811388300841896,0.0002891008962127783,11025.0,False,False,True
15.0,6,250.0,72.0,3432,21.0,75,0.02097902097902098,15.811388300841896,0.0002913752913752914,5184.0,False,False,True
15.0,6,250.0,72.0,3158,19.5,75,0.022799240025332488,15.811388300841896,0.00031665611146295124,5184.0,False,False,True
16.0,8,400.0,170.0,4668,11.5,75,0.03641816623821765,20.0,0.00021422450728363326,28900.0,False,False,True
15.0,8,350.0,145.0,4440,14.0,75,0.03265765765765766,18.708286933869708,0.00022522522522522523,21025.0,False,False,True
16.0,8,318.0,150.0,4498,14.5,75,0.03334815473543797,17.832554500127006,0.00022232103156958648,22500.0,False,False,True
14.0,8,351.0,148.0,4657,13.5,75,0.031780115954477134,18.734993995195193,0.00021473051320592657,21904.0,False,False,True
17.0,6,231.0,110.0,3907,21.0,75,0.028154594317890965,15.198684153570664,0.0002559508574353724,12100.0,False,False,True
16.0,6,250.0,105.0,3897,18.5,75,0.026943802925327175,15.811388300841896,0.00025660764690787786,11025.0,False,False,True
15.0,6,258.0,110.0,3730,19.0,75,0.029490616621983913,16.06237840420901,0.00026809651474530834,12100.0,False,False,True
18.0,6,225.0,95.0,3785,19.0,75,0.02509907529722589,15.0,0.0002642007926023778,9025.0,False,False,True
21.0,6,231.0,110.0,3039,15.0,75,0.0361961171437973,15.198684153570664,0.0003290556103981573,12100.0,False,False,True
20.0,8,262.0,110.0,3221,13.5,75,0.034150884818379384,16.186414056238647,0.0003104625892579944,12100.0,False,False,True
13.0,8,302.0,129.0,3169,12.0,75,0.04070684758598927,17.378147196982766,0.0003155569580309246,16641.0,False,False,True
29.0,4,97.0,75.0,2171,16.0,75,0.03454629203132197,9.848857801796104,0.00046061722708429296,5625.0,False,True,False
23.0,4,140.0,83.0,2639,17.0,75,0.03145130731337628,11.832159566199232,0.00037893141341417203,6889.0,False,False,True
20.0,6,232.0,100.0,2914,16.0,75,0.03431708991077557,15.231546211727817,0.00034317089910775565,10000.0,False,False,True
23.0,4,140.0,78.0,2592,18.5,75,0.03009259259259259,11.832159566199232,0.00038580246913580245,6084.0,False,False,True
24.0,4,134.0,96.0,2702,13.5,75,0.03552923760177646,11.575836902790225,0.0003700962250185048,9216.0,False,True,False
25.0,4,90.0,71.0,2223,16.5,75,0.031938821412505626,9.486832980505138,0.000449842555105713,5041.0,True,False,False
24.0,4,119.0,97.0,2545,17.0,75,0.0381139489194499,10.908712114635714,0.0003929273084479371,9409.0,False,True,False
18.0,6,171.0,97.0,2984,14.5,75,0.032506702412868634,13.076696830622021,0.0003351206434316354,9409.0,False,False,True
29.0,4,90.0,70.0,1937,14.0,75,0.036138358286009295,9.486832980505138,0.0005162622612287042,4900.0,True,False,False
19.0,6,232.0,90.0,3211,17.0,75,0.02802865151043289,15.231546211727817,0.0003114294612270321,8100.0,False,False,True
23.0,4,115.0,95.0,2694,15.0,75,0.03526354862657758,10.723805294763608,0.0003711952487008166,9025.0,True,False,False
23.0,4,120.0,88.0,2957,17.0,75,0.029759891782211702,10.954451150103322,0.00033818058843422386,7744.0,True,False,False
22.0,4,121.0,98.0,2945,14.5,75,0.033276740237691005,11.0,0.00033955857385398983,9604.0,True,False,False
25.0,4,121.0,115.0,2671,13.5,75,0.0430550355672033,11.0,0.00037439161362785476,13225.0,True,False,False
33.0,4,91.0,53.0,1795,17.5,75,0.029526462395543174,9.539392014169456,0.0005571030640668524,2809.0,False,True,False
28.0,4,107.0,86.0,2464,15.5,76,0.0349025974025974,10.344080432788601,0.00040584415584415587,7396.0,True,False,False
25.0,4,116.0,81.0,2220,16.9,76,0.03648648648648649,10.770329614269007,0.00045045045045045046,6561.0,True,False,False
25.0,4,140.0,92.0,2572,14.9,76,0.03576982892690513,11.832159566199232,0.00038880248833592535,8464.0,False,False,True
26.0,4,98.0,79.0,2255,17.7,76,0.03503325942350333,9.899494936611665,0.0004434589800443459,6241.0,False,False,True
27.0,4,101.0,83.0,2202,15.3,76,0.037693006357856496,10.04987562112089,0.00045413260672116256,6889.0,True,False,False
17.5,8,305.0,140.0,4215,13.0,76,0.033214709371293,17.46424919657298,0.00023724792408066428,19600.0,False,False,True
16.0,8,318.0,150.0,4190,13.0,76,0.03579952267303103,17.832554500127006,0.00023866348448687351,22500.0,False,False,True
15.5,8,304.0,120.0,3962,13.9,76,0.03028773346794548,17.435595774162696,0.0002523977788995457,14400.0,False,False,True
14.5,8,351.0,152.0,4215,12.8,76,0.03606168446026097,18.734993995195193,0.00023724792408066428,23104.0,False,False,True
22.0,6,225.0,100.0,3233,15.4,76,0.03093102381688834,15.0,0.0003093102381688834,10000.0,False,False,True
22.0,6,250.0,105.0,3353,14.5,76,0.031315240083507306,15.811388300841896,0.00029824038174768865,11025.0,False,False,True
24.0,6,200.0,81.0,3012,17.6,76,0.026892430278884463,14.142135623730951,0.00033200531208499334,6561.0,False,False,True
22.5,6,232.0,90.0,3085,17.6,76,0.029173419773095625,15.231546211727817,0.00032414910858995135,8100.0,False,False,True
29.0,4,85.0,52.0,2035,22.2,76,0.025552825552825554,9.219544457292887,0.0004914004914004914,2704.0,False,False,True
24.5,4,98.0,60.0,2164,22.1,76,0.027726432532347505,9.899494936611665,0.0004621072088724584,3600.0,False,False,True
29.0,4,90.0,70.0,1937,14.2,76,0.036138358286009295,9.486832980505138,0.0005162622612287042,4900.0,True,False,False
33.0,4,91.0,53.0,1795,17.4,76,0.029526462395543174,9.539392014169456,0.0005571030640668524,2809.0,False,True,False
20.0,6,225.0,100.0,3651,17.7,76,0.027389756231169543,15.0,0.0002738975623116954,10000.0,False,False,True
18.0,6,250.0,78.0,3574,21.0,76,0.02182428651371013,15.811388300841896,0.0002797985450475658,6084.0,False,False,True
18.5,6,250.0,110.0,3645,16.2,76,0.03017832647462277,15.811388300841896,0.00027434842249657066,12100.0,False,False,True
17.5,6,258.0,95.0,3193,17.8,76,0.029752583777012214,16.06237840420901,0.00031318509238960227,9025.0,False,False,True
29.5,4,97.0,71.0,1825,12.2,76,0.03890410958904109,9.848857801796104,0.000547945205479452,5041.0,True,False,False
32.0,4,85.0,70.0,1990,17.0,76,0.035175879396984924,9.219544457292887,0.0005025125628140704,4900.0,False,True,False
28.0,4,97.0,75.0,2155,16.4,76,0.03480278422273782,9.848857801796104,0.0004640371229698376,5625.0,False,True,False
26.5,4,140.0,72.0,2565,13.6,76,0.028070175438596492,11.832159566199232,0.0003898635477582846,5184.0,False,False,True
20.0,4,130.0,102.0,3150,15.7,76,0.03238095238095238,11.40175425099138,0.00031746031746031746,10404.0,True,False,False
13.0,8,318.0,150.0,3940,13.2,76,0.03807106598984772,17.832554500127006,0.0002538071065989848,22500.0,False,False,True
19.0,4,120.0,88.0,3270,21.9,76,0.02691131498470948,10.954451150103322,0.0003058103975535168,7744.0,True,False,False
19.0,6,156.0,108.0,2930,15.5,76,0.03686006825938567,12.489995996796797,0.00034129692832764505,11664.0,False,True,False
16.5,6,168.0,120.0,3820,16.7,76,0.031413612565445025,12.96148139681572,0.0002617801047120419,14400.0,True,False,False
16.5,8,350.0,180.0,4380,12.1,76,0.0410958904109589,18.708286933869708,0.00022831050228310502,32400.0,False,False,True
13.0,8,350.0,145.0,4055,12.0,76,0.035758323057953144,18.708286933869708,0.0002466091245376079,21025.0,False,False,True
13.0,8,302.0,130.0,3870,15.0,76,0.03359173126614987,17.378147196982766,0.00025839793281653745,16900.0,False,False,True
13.0,8,318.0,150.0,3755,14.0,76,0.03994673768308921,17.832554500127006,0.0002663115845539281,22500.0,False,False,True
31.5,4,98.0,68.0,2045,18.5,77,0.033251833740831294,9.899494936611665,0.0004889975550122249,4624.0,False,True,False
30.0,4,111.0,80.0,2155,14.8,77,0.037122969837587005,10.535653752852738,0.0004640371229698376,6400.0,False,False,True
36.0,4,79.0,58.0,1825,18.6,77,0.03178082191780822,8.888194417315589,0.000547945205479452,3364.0,True,False,False
25.5,4,122.0,96.0,2300,15.5,77,0.04173913043478261,11.045361017187261,0.0004347826086956522,9216.0,False,False,True
33.5,4,85.0,70.0,1945,16.8,77,0.03598971722365039,9.219544457292887,0.0005141388174807198,4900.0,False,True,False
17.5,8,305.0,145.0,3880,12.5,77,0.037371134020618556,17.46424919657298,0.0002577319587628866,21025.0,False,False,True
17.0,8,260.0,110.0,4060,19.0,77,0.027093596059113302,16.1245154965971,0.0002463054187192118,12100.0,False,False,True
15.5,8,318.0,145.0,4140,13.7,77,0.035024154589371984,17.832554500127006,0.00024154589371980676,21025.0,False,False,True
15.0,8,302.0,130.0,4295,14.9,77,0.030267753201396973,17.378147196982766,0.00023282887077997672,16900.0,False,False,True
17.5,6,250.0,110.0,3520,16.4,77,0.03125,15.811388300841896,0.0002840909090909091,12100.0,False,False,True
20.5,6,231.0,105.0,3425,16.9,77,0.030656934306569343,15.198684153570664,0.00029197080291970805,11025.0,False,False,True
19.0,6,225.0,100.0,3630,17.7,77,0.027548209366391185,15.0,0.0002754820936639118,10000.0,False,False,True
18.5,6,250.0,98.0,3525,19.0,77,0.027801418439716313,15.811388300841896,0.00028368794326241134,9604.0,False,False,True
